name;MonitoringRef
Égly;STIF:StopPoint:Q:415484:
Émerainville – Pontault-Combault;STIF:StopPoint:Q:43074:
Enghien-les-Bains;STIF:StopPoint:Q:43075:
Épernon;STIF:StopPoint:Q:411511:
Épinay-sur-Orge;STIF:StopPoint:Q:43076:
Épinay-sur-Seine;STIF:StopPoint:Q:43077:
Épinay – Villetaneuse;STIF:StopPoint:Q:43078:
Épluches;STIF:StopPoint:Q:47596:
Épône – Mézières;STIF:StopPoint:Q:47882:
Éragny – Neuville;STIF:StopPoint:Q:43079:
Ermont Halte;STIF:StopPoint:Q:47920:
Ermont – Eaubonne;STIF:StopPoint:Q:47898:
Esbly;STIF:StopPoint:Q:47322:
Essonnes – Robinson;STIF:StopPoint:Q:45759:
Étampes;STIF:StopPoint:Q:43080:
Étigny – Véron;STIF:StopPoint:Q:411455:
Étrechy;STIF:StopPoint:Q:43081:
Évry;STIF:StopPoint:Q:45745:
Évry – Courcouronnes;STIF:StopPoint:Q:47906:
Faremoutiers – Pommeuse;STIF:StopPoint:Q:47199:
Ferrières Fontenay;STIF:StopPoint:Q:411488:
Fontaine Michalon;STIF:StopPoint:Q:43124:
Fontaine-le-Port;STIF:StopPoint:Q:43123:
Fontainebleau – Avon;STIF:StopPoint:Q:47911:
Fontenay-aux-Roses;STIF:StopPoint:Q:43125:
Fontenay-le-Fleury;STIF:StopPoint:Q:47884:
Fontenay-sous-Bois;STIF:StopPoint:Q:47238:
Franconville – Le Plessis-Bouchard;STIF:StopPoint:Q:43126:
Frépillon;STIF:StopPoint:Q:47580:
Gagny;STIF:StopPoint:Q:43044:
Garancières – La Queue;STIF:StopPoint:Q:47903:
Garches – Marnes-la-Coquette;STIF:StopPoint:Q:47770:
Gargenville;STIF:StopPoint:Q:43129:
Garges – Sarcelles;STIF:StopPoint:Q:43251:
Gazeran;STIF:StopPoint:Q:46832:
Gennevilliers;STIF:StopPoint:Q:43130:
Gentilly;STIF:StopPoint:Q:45877:
Gif-sur-Yvette;STIF:StopPoint:Q:47888:
Gisors;STIF:StopPoint:Q:59301:
Goussainville;STIF:StopPoint:Q:47876:
Grand Bourg;STIF:StopPoint:Q:45860:
Gretz-Armainvilliers;STIF:StopPoint:Q:43131:
Grigny Centre;STIF:StopPoint:Q:43132:
Gros Noyer Saint-Prix;STIF:StopPoint:Q:46482:
Groslay;STIF:StopPoint:Q:43133:
Guérard – La Celle-sur-Morin;STIF:StopPoint:Q:47205:
Haussmann – Saint-Lazare;STIF:StopPoint:Q:58718:
Herblay;STIF:StopPoint:Q:47603:
Héricy;STIF:StopPoint:Q:47145:
Houdan;STIF:StopPoint:Q:47935:
Houilles – Carrières-sur-Seine;STIF:StopPoint:Q:43082:
Igny;STIF:StopPoint:Q:43083:
Invalides;STIF:StopPoint:Q:470540:
Isles – Armentières – Congis;STIF:StopPoint:Q:47484:
Issou – Porcheville;STIF:StopPoint:Q:46975:
Issy;STIF:StopPoint:Q:43084:
Issy Val de Seine;STIF:StopPoint:Q:462357:
Ivry-sur-Seine;STIF:StopPoint:Q:46366:
Javel;STIF:StopPoint:Q:45346:
Joigny;STIF:StopPoint:Q:411467:
Joinville-le-Pont;STIF:StopPoint:Q:43135:
Jouy;STIF:StopPoint:Q:411498:
Jouy-en-Josas;STIF:StopPoint:Q:43136:
Juvisy;STIF:StopPoint:Q:45739:
Juziers;STIF:StopPoint:Q:43137:
La Barre Ormesson;STIF:StopPoint:Q:46470:
La Borne Blanche;STIF:StopPoint:Q:411418:
La Celle-Saint-Cloud;STIF:StopPoint:Q:47880:
La Courneuve – Aubervilliers;STIF:StopPoint:Q:43140:
La Croix de Berny;STIF:StopPoint:Q:46007:
La Défense;STIF:StopPoint:Q:470549:
La Ferté-Alais;STIF:StopPoint:Q:43142:
La Ferté-Milon;STIF:StopPoint:Q:411372:
La Ferté-sous-Jouarre;STIF:StopPoint:Q:43246:
La Frette – Montigny;STIF:StopPoint:Q:43143:
La Garenne-Colombes;STIF:StopPoint:Q:47412:
La Grande-Paroisse;STIF:StopPoint:Q:43144:
La Hacquinière;STIF:StopPoint:Q:47046:
La Norville – Saint-Germain-lès-Arpajon;STIF:StopPoint:Q:47939:
La Plaine – Stade de France;STIF:StopPoint:Q:43145:
La Varenne – Chennevières;STIF:StopPoint:Q:43146:
La Verrière;STIF:StopPoint:Q:43147:
La Villetertre;STIF:StopPoint:Q:411348:
La Villette Saint-Prest;STIF:StopPoint:Q:411504:
Lagny – Thorigny;STIF:StopPoint:Q:427872:
Laplace;STIF:StopPoint:Q:43607:
Lardy;STIF:StopPoint:Q:43149:
Laroche – Migennes;STIF:StopPoint:Q:411479:
Le Blanc-Mesnil;STIF:StopPoint:Q:46163:
Le Bourget;STIF:StopPoint:Q:43231:
Le Bras de Fer;STIF:StopPoint:Q:45850:
Le Chénay Gagny;STIF:StopPoint:Q:43127:
Le Coudray-Monceaux;STIF:StopPoint:Q:45824:
Le Guichet;STIF:StopPoint:Q:43232:
Le Mée;STIF:StopPoint:Q:45784:
Le Parc de Saint-Maur;STIF:StopPoint:Q:43234:
Le Perray;STIF:StopPoint:Q:43235:
Le Plessis-Belleville;STIF:StopPoint:Q:411405:
Le Plessis-Chenet;STIF:StopPoint:Q:45820:
Le Raincy – Villemomble – Montfermeil;STIF:StopPoint:Q:47901:
Le Stade;STIF:StopPoint:Q:43236:
Le Val d’Or;STIF:StopPoint:Q:422065:
Le Vert de Maisons;STIF:StopPoint:Q:464040:
Le Vésinet-Centre;STIF:StopPoint:Q:53784:
Le Vésinet – Le Pecq;STIF:StopPoint:Q:43237:
Les Ardoines;STIF:StopPoint:Q:43227:
Les Baconnets;STIF:StopPoint:Q:43228:
Les Boullereaux Champigny;STIF:StopPoint:Q:58267:
Les Clairières de Verneuil;STIF:StopPoint:Q:54249:
Les Essarts-le-Roi;STIF:StopPoint:Q:43229:
Les Grésillons;STIF:StopPoint:Q:43230:
Les Mureaux;STIF:StopPoint:Q:47881:
Les Noues;STIF:StopPoint:Q:47968:
Les Saules;STIF:StopPoint:Q:46298:
Les Vallées;STIF:StopPoint:Q:47969:
Les Yvris – Noisy-le-Grand;STIF:StopPoint:Q:58288:
L’Étang-la-Ville;STIF:StopPoint:Q:47937:
Liancourt-Saint-Pierre;STIF:StopPoint:Q:411342:
Lieusaint – Moissy;STIF:StopPoint:Q:47669:
Limay;STIF:StopPoint:Q:43151:
L’Isle-Adam – Parmain;STIF:StopPoint:Q:47589:
Livry-sur-Seine;STIF:StopPoint:Q:45804:
Lizy-sur-Ourcq;STIF:StopPoint:Q:47486:
Lognes;STIF:StopPoint:Q:43152:
Longueville;STIF:StopPoint:Q:47914:
Louveciennes;STIF:StopPoint:Q:473506:
Louvres;STIF:StopPoint:Q:44628:
Lozère;STIF:StopPoint:Q:474069:
Luxembourg;STIF:StopPoint:Q:43833:
Luzarches;STIF:StopPoint:Q:47528:
Magenta;STIF:StopPoint:Q:58572:
Maintenon;STIF:StopPoint:Q:59302:
Maisons-Alfort – Alfortville;STIF:StopPoint:Q:43154:
Maisons-Laffitte;STIF:StopPoint:Q:473109:
Maisse;STIF:StopPoint:Q:43156:
Malesherbes;STIF:StopPoint:Q:411485:
Mantes Station;STIF:StopPoint:Q:46965:
Mantes-la-Jolie;STIF:StopPoint:Q:43157:
Marchezais – Broué;STIF:StopPoint:Q:411495:
Mareil-sur-Mauldre;STIF:StopPoint:Q:46884:
Mareuil-sur-Ourcq;STIF:StopPoint:Q:411375:
Marles-en-Brie;STIF:StopPoint:Q:43247:
Marly-le-Roi;STIF:StopPoint:Q:43248:
Marne-la-Vallée – Chessy;STIF:StopPoint:Q:43239:
Marolles-en-Hurepoix;STIF:StopPoint:Q:43159:
Massy – Palaiseau;STIF:StopPoint:Q:58774:
Massy – Verrières;STIF:StopPoint:Q:47940:
Maule;STIF:StopPoint:Q:46886:
Maurecourt;STIF:StopPoint:Q:43160:
Meaux;STIF:StopPoint:Q:43161:
Melun;STIF:StopPoint:Q:47909:
Mennecy;STIF:StopPoint:Q:47899:
Mériel;STIF:StopPoint:Q:47585:
Méry-sur-Oise;STIF:StopPoint:Q:47582:
Meudon;STIF:StopPoint:Q:43162:
Meudon Val Fleury;STIF:StopPoint:Q:43163:
Meulan – Hardricourt;STIF:StopPoint:Q:46897:
Mitry – Claye;STIF:StopPoint:Q:43164:
Montargis;STIF:StopPoint:Q:411482:
Montereau;STIF:StopPoint:Q:47910:
Montfort-l’Amaury – Méré;STIF:StopPoint:Q:46850:
Montgeron – Crosne;STIF:StopPoint:Q:47684:
Montgeroult – Courcelles;STIF:StopPoint:Q:44161:
Montigny-sur-Loing;STIF:StopPoint:Q:47125:
Montigny – Beauchamp;STIF:StopPoint:Q:43166:
Montreuil;STIF:StopPoint:Q:43167:
