LineRef;LineName
STIF:Line::C01062:;Express 01
STIF:Line::C01421:;N122
STIF:Line::C02281:;3632
STIF:Line::C00789:;41
STIF:Line::C02088:;34B
STIF:Line::C02219:;6252
STIF:Line::C01577:;605
STIF:Line::C01799:;6160
STIF:Line::C01700:;6164
STIF:Line::C01701:;6161
STIF:Line::C01690:;6179
STIF:Line::C00781:;56
STIF:Line::C01785:;95-06
STIF:Line::C00393:;95-05
STIF:Line::C01288:;325
STIF:Line::C00778:;49
STIF:Line::C01740:;L
STIF:Line::C02344:;T13
STIF:Line::C02485:;TàD 6131
STIF:Line::C01088:;47
STIF:Line::C00425:;6241
STIF:Line::C01080:;30
STIF:Line::C00695:;6204
STIF:Line::C00696:;6205
STIF:Line::C00254:;711
STIF:Line::C01429:;Filéo Othis (sur réservation)
STIF:Line::C00245:;701
STIF:Line::C01813:;713
STIF:Line::C02423:;M
STIF:Line::C01398:;N34
STIF:Line::C01648:;N133
STIF:Line::C01600:;C
STIF:Line::C01298:;350
STIF:Line::C01189:;167
STIF:Line::C00691:;M153
STIF:Line::C00676:;DM12
STIF:Line::C01268:;294
STIF:Line::C01408:;N63
STIF:Line::C01199:;178
STIF:Line::C02423:;M
STIF:Line::C00794:;4
STIF:Line::C01201:;180
STIF:Line::C01404:;N32
STIF:Line::C02111:;41 (Future 443)
STIF:Line::C01084:;39
STIF:Line::C01146:;117
STIF:Line::C02555:;59
STIF:Line::C01521:;401
STIF:Line::C00537:;450
STIF:Line::C00520:;13
STIF:Line::C01092:;54
STIF:Line::C01394:;N51
STIF:Line::C01241:;249
STIF:Line::C00034:;C
STIF:Line::C02600:;N146
STIF:Line::C01431:;Filéo Sarcelles (sur réservation)
STIF:Line::C01157:;128
STIF:Line::C00413:;17
STIF:Line::C02457:;Ligne Bleue
STIF:Line::C02080:;559B
STIF:Line::C00635:;43
STIF:Line::C02080:;559B
STIF:Line::C01115:;83
STIF:Line::C01277:;308
STIF:Line::C01742:;A
STIF:Line::C00633:;37
STIF:Line::C01484:;6231
STIF:Line::C01378:;8
STIF:Line::C00423:;P
STIF:Line::C01759:;719
STIF:Line::C00246:;702
STIF:Line::C00016:;14
STIF:Line::C01677:;430
STIF:Line::C00960:;Express 67
STIF:Line::C01071:;TVM
STIF:Line::C00170:;10
STIF:Line::C01188:;166
STIF:Line::C02030:;Soirée Louvres
STIF:Line::C00234:;R7
STIF:Line::C02267:;T'bus 3
STIF:Line::C00701:;6210
STIF:Line::C00700:;6209
STIF:Line::C01403:;N62
STIF:Line::C01190:;169
STIF:Line::C00487:;3804
STIF:Line::C01521:;401
STIF:Line::C02023:;4328
STIF:Line::C01168:;143
STIF:Line::C00835:;5
STIF:Line::C01419:;N13
STIF:Line::C01981:;22
STIF:Line::C00818:;211
STIF:Line::C00786:;9
STIF:Line::C00797:;112
STIF:Line::C01747:;TER Grand-Est
STIF:Line::C01728:;D
STIF:Line::C01123:;92
STIF:Line::C01229:;215
STIF:Line::C01087:;46
STIF:Line::C01335:;LA NAVETTE
STIF:Line::C01624:;409
STIF:Line::C00761:;88C
STIF:Line::C01600:;C
STIF:Line::C02461:;DM3B
STIF:Line::C02188:;62C
STIF:Line::C02245:;59
STIF:Line::C01132:;103
STIF:Line::C02098:;02F
STIF:Line::C00710:;6286
STIF:Line::C01602:;E
STIF:Line::C00062:;Express 60
STIF:Line::C01832:;C
STIF:Line::C01399:;N33
STIF:Line::C00306:;34
STIF:Line::C02005:;30-mars
STIF:Line::C00495:;11
STIF:Line::C00500:;3917
STIF:Line::C01588:;620
STIF:Line::C00181:;30
STIF:Line::C01765:;4322
STIF:Line::C01004:;4004
STIF:Line::C01959:;7C
STIF:Line::C00823:;10
STIF:Line::C00822:;9A
STIF:Line::C01139:;110
STIF:Line::C01197:;176
STIF:Line::C00971:;6810
STIF:Line::C02207:;71
STIF:Line::C00628:;25
STIF:Line::C01402:;N61
STIF:Line::C01315:;389
STIF:Line::C01190:;169
STIF:Line::C00145:;9
STIF:Line::C01268:;294
STIF:Line::C01579:;609
STIF:Line::C01584:;616
STIF:Line::C00354:;A
STIF:Line::C00402:;7
STIF:Line::C00126:;172
STIF:Line::C00125:;171
STIF:Line::C02594:;N137
STIF:Line::C00292:;1
STIF:Line::C00380:;24-juin
STIF:Line::C01002:;4001
STIF:Line::C00875:;3604
STIF:Line::C01588:;620
STIF:Line::C01406:;N43
STIF:Line::C01174:;150
STIF:Line::C01244:;252
STIF:Line::C01205:;184
STIF:Line::C00840:;1
STIF:Line::C01111:;76
STIF:Line::C00942:;56S
STIF:Line::C02217:;424
STIF:Line::C02132:;9s
STIF:Line::C00602:;X
STIF:Line::C01791:;95-35
STIF:Line::C00536:;449
STIF:Line::C02368:;TER Centre - Val de Loire
STIF:Line::C01444:;208
STIF:Line::C01450:;203
STIF:Line::C00538:;451
STIF:Line::C00827:;14A
STIF:Line::C02298:;27
STIF:Line::C01979:;R
STIF:Line::C02557:;65
STIF:Line::C00286:;10
STIF:Line::C02395:;M154
STIF:Line::C00075:;14
STIF:Line::C00339:;401
STIF:Line::C00020:;121
STIF:Line::C00009:;3
STIF:Line::C01969:;13B
STIF:Line::C01098:;62
STIF:Line::C02485:;TàD 6131
STIF:Line::C00817:;202
STIF:Line::C01983:;35
STIF:Line::C00057:;9
STIF:Line::C01951:;12
STIF:Line::C01985:;40
STIF:Line::C00163:;1
STIF:Line::C01989:;51
STIF:Line::C00414:;Q
STIF:Line::C01981:;22
STIF:Line::C00346:;409
STIF:Line::C00054:;2
STIF:Line::C01374:;4
STIF:Line::C01212:;191
