name;MonitoringRef
Aeroport Charles de Gaulle 1 (Terminal 3);STIF:StopPoint:Q:411398:
Aeroport d'Orly;STIF:StopPoint:Q:29894:
Aeroport Orly 1-2-3;STIF:StopPoint:Q:480397:
Aeroport Orly 4;STIF:StopPoint:Q:413250:
Aeroport Orly 4 - N7;STIF:StopPoint:Q:472331:
Aerospatiale;STIF:StopPoint:Q:13478:
Aerostation Maritime;STIF:StopPoint:Q:415394:
Aeroville - Belle Borne;STIF:StopPoint:Q:424091:
AFTRAL - CHEP;STIF:StopPoint:Q:9530:
Agen;STIF:StopPoint:Q:28230:
Agora;STIF:StopPoint:Q:19803:
Agouries;STIF:StopPoint:Q:12900:
Agrippa d Aubigne;STIF:StopPoint:Q:13524:
Aguado;STIF:StopPoint:Q:3722:
Aime Cesaire;STIF:StopPoint:Q:483909:
Aime Fluttaz;STIF:StopPoint:Q:16723:
Aimee Lepercq;STIF:StopPoint:Q:33785:
Aimee Matterraz;STIF:StopPoint:Q:40420:
Air et Soleil;STIF:StopPoint:Q:9157:
Airapolis;STIF:StopPoint:Q:38061:
Alain;STIF:StopPoint:Q:485432:
Albatros;STIF:StopPoint:Q:18061:
Albert 1er;STIF:StopPoint:Q:23964:
Albert 1er - Rueil-Ville;STIF:StopPoint:Q:25983:
Albert Alline;STIF:StopPoint:Q:9903:
Albert Berthelot;STIF:StopPoint:Q:25620:
Albert Camus;STIF:StopPoint:Q:20831:
Albert Camus / Les Cholettes;STIF:StopPoint:Q:38081:
Albert Chardavoine;STIF:StopPoint:Q:28451:
Albert David;STIF:StopPoint:Q:18817:
Albert de Mun;STIF:StopPoint:Q:8441:
Albert Dru;STIF:StopPoint:Q:21279:
Albert Einstein;STIF:StopPoint:Q:482381:
Albert Galle;STIF:StopPoint:Q:419651:
Albert Garry;STIF:StopPoint:Q:17080:
Albert Joly;STIF:StopPoint:Q:477546:
Albert Kahn;STIF:StopPoint:Q:27479:
Albert Marquet;STIF:StopPoint:Q:37075:
Albert Moreau;STIF:StopPoint:Q:30978:
Albert Perdreaux;STIF:StopPoint:Q:12749:
Albert Petit;STIF:StopPoint:Q:27305:
Albert Roper;STIF:StopPoint:Q:26831:
Albert Sarraut;STIF:StopPoint:Q:413386:
Albert Thomas;STIF:StopPoint:Q:24615:
Alcide d'Orbigny;STIF:StopPoint:Q:28965:
Alcide d'Orbigny - De Gaullle;STIF:StopPoint:Q:29930:
Alembert;STIF:StopPoint:Q:15246:
Alesia;STIF:StopPoint:Q:463118:
Alesia - Didot;STIF:StopPoint:Q:23597:
Alesia - General Leclerc;STIF:StopPoint:Q:36547:
Alesia - Jean Moulin;STIF:StopPoint:Q:22790:
Alesia - les Plantes;STIF:StopPoint:Q:28694:
Alesia - Maine;STIF:StopPoint:Q:27084:
Alesia - Rene Coty;STIF:StopPoint:Q:486216:
Alexander Fleming;STIF:StopPoint:Q:27368:
Alexandra David-Neel;STIF:StopPoint:Q:24139:
Alexandre 1er;STIF:StopPoint:Q:27364:
Alexandre Bertrand;STIF:StopPoint:Q:32836:
Alexandre Dumas;STIF:StopPoint:Q:463117:
Alexandre Milard;STIF:StopPoint:Q:21301:
Alexandre Ribot;STIF:StopPoint:Q:5189:
Alexis Durand;STIF:StopPoint:Q:30571:
Alexis Fourcault;STIF:StopPoint:Q:20259:
Alexis Martin;STIF:StopPoint:Q:35179:
